pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
siteminder,Nantucket Whale Inn,A,mobile,2,TRUE,,,6.5,0,1,3,0,14127,14.1,1,False,False,False,True,True
siteminder,Ivy City Hotel,B,desktop,3,TRUE,,,14.0,3,1,3,9,28099,28.1,0,False,False,False,True,True
cloudbeds,Saltline Hotel,B,mobile,3,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,1,4,0,223065,223.1,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,A,desktop,2,FALSE,No availability found,study_a,10.5,10,0,1,0,103213,103.2,10,False,False,False,True,True
siteminder,Beach Waikiki Hostel,A,mobile,2,TRUE,,,6.0,0,1,2,0,13581,13.6,1,False,False,False,True,True
plekify,Simbavati,B,desktop,1,TRUE,,,9.0,4,0,2,8,26550,26.6,0,False,False,False,True,True
plekify,Simbavati,B,mobile,2,TRUE,,,4.5,4,0,1,0,72596,72.6,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,B,desktop,3,TRUE,,,14.0,3,1,3,9,29231,29.2,0,False,False,False,True,True
cloudbeds,The LINE Hotel,B,desktop,3,FALSE,CAPTCHA on homepage,homepage,0.0,0,0,1,0,6143,6.1,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,B,mobile,1,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,9536,9.5,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,A,mobile,2,FALSE,No booking entry point found on homepage,homepage,0.5,0,0,1,0,2973,3.0,0,False,False,False,True,True
nightsbridge,Lairds Lodge,A,desktop,1,TRUE,,,11.0,5,1,2,0,24309,24.3,1,False,False,False,True,True
cloudbeds,Fatwave Surf,B,desktop,1,FALSE,Could not complete booking flow to payment page,study_b,0.0,3,1,4,0,44678,44.7,0,False,False,False,True,True
profitroom,Katerina Resort,B,desktop,3,TRUE,,,7.0,1,1,2,0,36065,36.1,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,B,mobile,3,FALSE,No booking entry point found on homepage,homepage,0.0,0,0,1,0,2987,3.0,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,B,desktop,3,FALSE,Could not complete booking flow to payment page,study_b,0.0,4,0,4,0,135505,135.5,0,False,False,False,True,True
profitroom,Brahman Hills,B,desktop,2,FALSE,Could not select room,room_selection,7.0,0,1,4,0,26768,26.8,0,False,False,False,True,True
nightsbridge,Thali Thali,B,desktop,3,TRUE,,,19.0,13,1,2,0,51271,51.3,0,False,False,False,True,True
nightsbridge,Atlantic View,B,mobile,2,TRUE,,,18.0,12,1,2,0,52342,52.3,0,False,False,False,True,True
siteminder,Freehand NYC,A,desktop,1,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,11772,11.8,0,False,False,False,True,True
nightsbridge,Lairds Lodge,A,mobile,1,TRUE,,,11.0,5,1,2,0,22805,22.8,1,False,False,False,True,True
